CUSTOMERID,RECENCY,FREQUENCY,MONETARY,R_SCORE,F_SCORE,M_SCORE,SEGMENT
16274,697,1,295.75,1,2,2,At Risk
15922,697,1,369.5,1,2,2,At Risk
15165,697,1,487.75,1,2,3,At Risk
18074,697,1,458.4,1,2,3,At Risk
17908,697,1,196.3,1,2,1,At Risk
12791,697,1,192.6,1,2,1,At Risk
17643,697,1,55.35,1,1,1,At Risk
13065,697,1,200.82,1,1,1,At Risk
16048,697,1,251.4,1,2,2,At Risk
13747,697,1,79.6,1,2,1,At Risk
18011,697,1,77.55,1,1,1,At Risk
14729,697,1,268,1,1,2,At Risk
15350,697,1,115.65,1,2,1,At Risk
17968,697,1,231.05,1,2,2,At Risk
16583,697,1,233.45,1,1,2,At Risk
14142,697,1,240.13,1,1,2,At Risk
14237,697,1,150.8,1,1,1,At Risk
15070,666,1,106.2,1,2,1,At Risk
17855,666,1,148.25,1,2,1,At Risk
16752,666,1,197.3,1,2,1,At Risk
16510,666,1,248.1,1,2,2,At Risk
17925,666,1,244.08,1,1,2,At Risk
16781,666,1,301.05,1,1,2,At Risk
17732,666,1,293.77,1,2,2,At Risk
17976,666,1,311.14,1,2,2,At Risk
15363,666,1,305.6,1,1,2,At Risk
16754,666,1,1484,1,1,4,At Risk
13108,666,1,214.1,1,1,2,At Risk
13011,666,1,50.55,1,1,1,At Risk
14576,666,1,35.4,1,1,1,At Risk
12855,666,1,17.7,1,1,1,At Risk
13958,666,1,5.1,1,2,1,At Risk
12738,666,1,82.15,1,1,1,At Risk
15923,666,1,87.2,1,2,1,At Risk
14589,638,1,39.75,1,1,1,At Risk
13370,638,1,710.35,1,2,3,At Risk
12725,638,1,412.2,1,2,2,At Risk
17967,638,1,95.35,1,2,1,At Risk
12686,638,1,50.4,1,2,1,At Risk
14213,638,1,121.2,1,2,1,At Risk
16926,638,1,230.25,1,2,2,At Risk
16718,577,1,494.8,1,1,3,At Risk
14813,577,2,145.05,1,3,1,At Risk
15880,577,2,293.53,1,3,2,At Risk
15899,546,1,42.65,1,1,1,At Risk
18113,546,1,76.32,1,1,1,At Risk
16658,546,1,117.35,1,2,1,At Risk
17860,546,1,217.48,1,1,2,At Risk
16858,546,1,375.69,1,1,2,At Risk
16125,516,1,278.85,1,1,2,At Risk
13807,516,1,112.6,1,2,1,At Risk
13786,516,1,198.6,1,2,1,At Risk
15180,516,1,77.3,1,1,1,At Risk
18119,516,1,147.4,1,1,1,At Risk
16893,485,1,138.08,1,1,1,At Risk
13270,485,1,590,1,1,3,At Risk
14821,485,1,48.8,1,2,1,At Risk
15332,485,4,1661.06,1,4,4,At Risk
15347,485,1,201.6,1,1,1,At Risk
18269,485,1,148.2,1,2,1,At Risk
16679,485,1,129.75,1,2,1,At Risk
16252,485,1,8.3,1,1,1,At Risk
15221,485,1,403.25,1,1,2,At Risk
12441,485,1,142.05,1,1,1,At Risk
15945,454,1,167.4,1,2,1,At Risk
14355,454,1,153.8,1,1,1,At Risk
16065,454,1,296.59,1,1,2,At Risk
13369,454,1,282.6,1,2,2,At Risk
14932,454,1,363.53,1,1,2,At Risk
16795,454,1,343.15,1,1,2,At Risk
17456,454,1,161.82,1,2,1,At Risk
17307,454,1,46.64,1,2,1,At Risk
14437,454,1,32.4,1,1,1,At Risk
16579,454,1,5.1,1,1,1,At Risk
17978,454,1,136.05,1,1,1,At Risk
17880,424,1,395.08,1,2,2,At Risk
12785,424,1,311.95,1,2,2,At Risk
16727,424,1,211.97,1,1,2,At Risk
14082,424,1,153.7,1,1,1,At Risk
16565,424,1,173.7,1,1,1,At Risk
15723,424,1,176.3,1,2,1,At Risk
15454,363,1,171.35,1,2,1,At Risk
18004,363,1,151.23,1,2,1,At Risk
17251,363,1,258.7,1,2,2,At Risk
15503,363,1,123.35,1,1,1,At Risk
14413,363,1,91.9,1,1,1,At Risk
16665,363,1,135.4,1,1,1,At Risk
17524,362,1,145,1,2,1,At Risk
15361,362,1,408.72,1,1,2,At Risk
17303,362,1,211.11,1,1,2,At Risk
18141,361,1,5.9,1,1,1,At Risk
13948,361,1,102,1,2,1,At Risk
16499,361,2,355.25,1,2,2,At Risk
12797,361,2,251.45,1,3,2,At Risk
16812,361,1,469.15,1,1,3,At Risk
16202,361,1,326.35,1,2,2,At Risk
18050,360,1,65.9,1,2,1,At Risk
13829,360,1,17,1,2,1,At Risk
17525,360,1,422.7,1,2,3,At Risk
17551,360,1,273.75,1,2,2,At Risk
13295,360,1,201.2,1,1,1,At Risk
12666,360,1,23.74,1,2,1,At Risk
14373,359,1,66.35,1,1,1,At Risk
15789,359,1,129.7,1,2,1,At Risk
15224,359,2,308.88,1,3,2,At Risk
18176,359,1,403.15,1,2,2,At Risk
17496,359,1,262.05,1,1,2,At Risk
13874,359,1,504.45,1,1,3,At Risk
17691,359,2,280.2,1,3,2,At Risk
12551,358,1,168,1,1,1,At Risk
13033,358,1,190.55,1,1,1,At Risk
15204,358,1,225.5,1,1,2,At Risk
15160,358,1,151.2,1,1,1,At Risk
17343,356,1,191.9,1,1,1,At Risk
15279,355,1,253.55,1,1,2,At Risk
15460,355,1,197.3,1,1,1,At Risk
12515,354,1,348.3,1,2,2,At Risk
16270,354,1,988.84,1,1,4,At Risk
12734,353,1,93.6,1,2,1,At Risk
13922,352,1,139.25,1,1,1,At Risk
13304,352,1,253.5,1,1,2,At Risk
